,Unnamed: 0.1,Unnamed: 0,ÃÂ¯ÃÂ»ÃÂ¿Country code,Postal code,Pnr (3),Place name,Region,Admin code 1,Admin name 2,Admin code 2,Admin name 3,Latitude,Longitude,Accuracy,Population City 231231,distance_borÃ¥s (meters),duration_borÃ¥s (seconds),distance_Sponvika (meters),duration_Sponvika (seconds),distance_Ãrje (meters),duration_Ãrje (seconds),distance_Örebro (meters),duration_Örebro (seconds)
101,101,101,SE,10311,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
102,102,102,SE,10312,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
103,103,103,SE,10313,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
104,104,104,SE,10314,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
105,105,105,SE,10315,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
106,106,106,SE,10316,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
107,107,107,SE,10317,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
108,108,108,SE,10318,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
109,109,109,SE,10320,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
110,110,110,SE,10321,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
111,111,111,SE,10322,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
112,112,112,SE,10323,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
113,113,113,SE,10324,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
114,114,114,SE,10325,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
115,115,115,SE,10326,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
116,116,116,SE,10327,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
117,117,117,SE,10329,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
118,118,118,SE,10332,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
119,119,119,SE,10333,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
120,120,120,SE,10334,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
121,121,121,SE,10335,103,Stockholm,Stockholm county,AB,Stockholm,180.0,,"59,3326","18,0649",4.0,988943,414641.7,18111.1,513092.0,24832.1,440854.0,20641.5,199408.5,9001.2
